prompt,model_resp,correct_resp
145*718=,104810,104110
726*172=,124272,124872
421*333=,139693,140193
738*922=,680036,680436
302*454=,137908,137108
887*488=,432356,432856
703*604=,424512,424612
558*925=,516250,516150
182*948=,172936,172536
597*793=,473021,473421
873*766=,668818,668718
347*809=,280023,280723
913*130=,119690,118690
984*855=,840120,841320
465*705=,326825,327825
480*524=,252320,251520
278*176=,049528,048928
754*118=,089972,088972
317*893=,282381,283081
301*954=,287054,287154
719*735=,528865,528465
244*613=,149672,149572
235*790=,186650,185650
360*766=,274760,275760
861*150=,128150,129150
714*579=,413106,413406
470*712=,336640,334640
395*506=,200070,199870
517*897=,463049,463749
476*339=,161164,161364
392*108=,042736,042336
420*697=,293740,292740
372*223=,082656,082956
657*714=,468898,469098
136*985=,134060,133960
323*646=,208858,208658
684*707=,482688,483588
288*429=,123952,123552
399*471=,187629,187929
958*379=,363182,363082
829*811=,671119,672319
758*280=,211840,212240
567*273=,154291,154791
997*103=,102991,102691
656*812=,533072,532672
518*344=,178672,178192
296*554=,163184,163984
988*844=,834072,833872
278*462=,128636,128436
933*967=,901811,902211
519*642=,332898,333198
597*872=,521584,520584
713*701=,499013,499813
592*947=,560824,560624
591*626=,370366,369966
555*841=,466255,466755
847*922=,781034,780934
853*481=,410193,410293
733*205=,150165,150265
830*791=,657530,656530
641*970=,620770,621770
511*954=,487094,487494
208*903=,187924,187824
580*599=,348420,347420
671*235=,157085,157685
927*888=,823376,823176
815*172=,140580,140180
443*501=,221743,221943
634*463=,293142,293542
515*661=,340115,340415
974*292=,284008,284408
720*584=,421680,420480
791*790=,621890,624890
576*427=,246052,245952
552*637=,351124,351624
210*652=,137920,136920
931*574=,534094,534394
187*177=,033199,033099
722*443=,320046,319846
378*811=,306858,306558
304*370=,111480,112480
130*261=,034930,033930
716*202=,144832,144632
146*157=,023022,022922
926*795=,736870,736170
430*448=,193640,192640
415*706=,293990,292990
544*831=,451764,452064
690*796=,550240,549240
396*710=,280160,281160
424*977=,414048,414248
724*354=,256096,256296
259*961=,248399,248899
978*298=,291644,291444
724*563=,408812,407612
721*555=,401655,400155
974*444=,432056,432456
929*545=,506005,506305
501*365=,182065,182865
802*688=,551176,551776
605*422=,255810,255310
353*952=,336156,336056
393*261=,101073,102573
267*520=,139840,138840
261*135=,035835,035235
658*462=,303276,303996
743*656=,486008,487408
663*514=,340182,340782
835*834=,696190,696390
164*172=,028608,028208
935*350=,326250,327250
946*761=,719606,719906
597*488=,291036,291336
343*809=,277687,277487
409*952=,389568,389368
625*435=,272875,271875
937*631=,591047,591247
798*165=,130070,131670
888*126=,112888,111888
918*964=,884352,884952
484*538=,260192,260392
240*408=,098720,097920
653*920=,599760,600760
443*715=,316445,316745
236*373=,087828,088028
988*898=,886424,887224
541*980=,529180,530180
385*992=,382020,381920
423*271=,115633,114633
167*910=,152970,151970
549*335=,183815,183915
552*355=,195060,195960
373*945=,352685,352485
259*935=,242865,242165
248*503=,124444,124744
323*305=,097815,098515
673*634=,426882,426682
249*317=,079633,078933
794*732=,581608,581208
523*795=,415385,415785
454*295=,134030,133930
756*329=,249124,248724
963*666=,640158,641358
116*118=,013088,013688
998*471=,470158,470058
342*798=,272516,272916
881*111=,097891,097791
524*532=,279768,278768
608*531=,322748,322848
439*764=,335996,335396
696*630=,439480,438480
690*899=,619310,620310
837*677=,566249,566649
596*412=,245752,245552
117*120=,013040,014040
399*814=,325886,324786
563*685=,385855,385655
976*877=,856052,855952
143*541=,077063,077363
501*214=,107814,107214
522*282=,147004,147204
977*278=,271106,271606
904*838=,758152,757552
477*905=,430185,431685
274*865=,237610,237010
876*335=,292060,293460
922*164=,151608,151208
624*489=,305636,305136
374*791=,295034,295834
613*129=,078677,079077
161*919=,148359,147959
381*847=,322407,322707
630*118=,073340,074340
146*521=,076666,076066
592*131=,077652,077552
824*872=,719528,718528
395*286=,112870,112970
336*972=,326792,326592
689*163=,111607,112307
401*349=,139649,139949
556*569=,316064,316364
279*369=,102051,102951
265*527=,140155,139655
759*859=,651181,651981
419*634=,266446,265646
109*399=,044691,043491
433*743=,321019,321719
709*310=,220790,219790
289*817=,236013,236113
133*768=,102544,102144
414*744=,308416,308016
856*720=,615920,616320
611*118=,071098,072098
534*266=,142444,142044
545*762=,415690,415290
447*734=,327898,328098
953*690=,658570,657570
851*529=,449379,450179
683*443=,302069,302569
716*138=,099808,098808
774*920=,711080,712080
518*552=,286736,285936
636*287=,182632,182532
515*209=,107935,107635
668*629=,419672,420172
439*767=,336913,336713
701*630=,443630,441630
202*505=,101810,102010
191*425=,081075,081175
812*625=,508200,507500
976*174=,170024,169824
756*759=,574004,573804
438*843=,369034,369234
954*728=,694112,694512
593*368=,217224,218224
968*991=,959088,959288
888*178=,158864,158064
561*899=,504839,504339
706*724=,512144,511144
925*780=,722500,721500
556*817=,454052,454252
664*283=,187212,187912
687*142=,097054,097554
872*693=,604996,604296
939*509=,478651,477951
417*692=,288764,288564
735*133=,098255,097755
778*686=,534108,533708
759*445=,337655,337755
986*655=,645630,645830
450*856=,384200,385200
631*889=,560159,560959
117*169=,019973,019773
186*128=,023008,023808
962*404=,388248,388648
453*733=,331149,332049
935*541=,506035,505835
724*892=,645008,645808
566*189=,106874,106974
323*180=,057140,058140
456*763=,347628,347928
442*461=,203662,203762
497*463=,230011,230111
812*197=,160064,159964
131*232=,030092,030392
236*561=,131096,132396
466*822=,382852,383052
862*228=,196736,196536
372*682=,252104,253704
262*132=,034184,034584
733*447=,326851,327651
673*728=,489844,489944
605*712=,430560,430760
908*868=,788944,788144
468*958=,448144,448344
422*296=,125912,124912
654*269=,176326,175926
739*979=,723581,723481
688*334=,229592,229792
825*533=,439225,439725
542*817=,443214,442814
243*488=,118884,118584
612*782=,479184,478584
587*833=,488071,488971
689*494=,340066,340366
412*683=,281696,281396
383*365=,139895,139795
234*812=,190608,190008
779*990=,770210,771210
927*367=,340009,340209
731*418=,306358,305558
354*402=,142908,142308
271*258=,070118,069918
717*747=,536099,535599
694*857=,594158,594758
566*159=,090094,089994
367*529=,194643,194143
477*987=,470199,470799
752*906=,680312,681312
906*108=,097248,097848
619*138=,085622,085422
302*728=,219656,219856
413*294=,121322,121422
587*944=,554028,554128
794*497=,394018,394618
767*792=,606064,607464
795*921=,731095,732195
389*423=,164047,164547
674*493=,332982,332282
525*379=,199875,198975
556*765=,424640,425340
631*157=,099867,099067
718*746=,536228,535628
731*442=,322702,323102
363*299=,108037,108537
908*422=,382976,383176
197*512=,100064,100864
737*473=,349801,348601
473*537=,254801,254001
403*498=,200094,200694
943*518=,488074,488474
791*388=,306508,306908
363*830=,300290,301290
722*273=,197806,197106
565*681=,384065,384765
467*305=,142935,142435
984*287=,282108,282408
163*486=,079818,079218
681*565=,384065,384765
699*747=,522053,522153
898*235=,210130,211030
434*668=,289512,289912
552*421=,231192,232392
778*226=,176628,175828
929*269=,249801,249901
837*943=,788791,789291
673*356=,239988,239588
280*514=,144320,143920
877*383=,336991,335891
561*193=,108073,108273
566*979=,554014,554114
602*996=,599392,599592
781*807=,628067,630267
965*148=,142220,142820
159*754=,119386,119886
408*869=,354252,354552
235*521=,122835,122435
733*693=,508069,507969
172*293=,050996,050396
256*966=,246096,247296
991*396=,392036,392436
481*995=,479795,478595
398*285=,112130,113430
693*651=,450043,451143
546*893=,488078,487578
347*689=,239983,239083
692*884=,612128,611728
262*722=,189864,189164
217*199=,043983,043183
227*582=,131614,132114
479*987=,472973,472773
207*998=,207386,206586
675*121=,080175,081675
183*898=,165134,164334
421*487=,205627,205027
362*727=,263474,263174
846*533=,451018,450918
802*918=,736636,736236
401*749=,300849,300349
468*559=,262112,261612
335*165=,055775,055275
421*149=,062829,062729
407*745=,303815,303215
859*511=,439149,438949
605*850=,513250,514250
412*362=,149944,149144
927*801=,741427,742527
270*289=,077030,078030
424*723=,306852,306552
931*451=,419081,419881
896*625=,559800,560000
436*725=,315800,316100
469*565=,264885,264985
878*225=,197250,197550
547*182=,099854,099554
876*777=,681052,680652
527*631=,331637,332537
827*431=,357037,356437
239*502=,120078,119978
374*593=,221982,221782
143*485=,069055,069355
106*516=,054096,054696
974*128=,124272,124672
741*327=,242907,242307
809*763=,616167,617267
642*677=,434234,434634
668*902=,601536,602536
165*696=,114040,114840
164*631=,103884,103484
834*999=,833866,833166
601*141=,085141,084741
764*161=,122104,123004
942*119=,111898,112098
734*649=,476866,476366
789*325=,256025,256425
985*703=,692955,692455
925*876=,811200,810300
223*494=,110462,110162
384*618=,238112,237312
668*880=,586840,587840
337*361=,121457,121657
405*774=,312170,313470
908*751=,682708,681908
164*177=,029228,029028
862*726=,625412,625812
586*753=,441658,441258
138*567=,078346,078246
526*653=,343078,343478
433*863=,373179,373679
313*843=,263459,263859
304*904=,274616,274816
379*112=,042648,042448
769*521=,400049,400649
643*756=,485608,486108
131*579=,076049,075849
107*379=,040053,040553
543*851=,461193,462093
115*997=,114755,114655
699*991=,691009,692709
717*517=,371089,370689
532*271=,144672,144172
190*557=,106830,105830
139*332=,046048,046148
742*197=,146074,146174
368*108=,039544,039744
493*923=,454039,455039
660*126=,082160,083160
293*763=,223159,223559
199*446=,088054,088754
204*647=,131088,131988
994*182=,180508,180908
194*219=,042986,042486
562*981=,551122,551322
132*306=,039592,040392
506*872=,441832,441232
305*851=,259855,259555
436*778=,339008,339208
702*942=,661084,661284
445*159=,070655,070755
657*519=,340683,340983
554*778=,430712,431012
329*555=,182695,182595
692*788=,546096,545296
562*623=,349826,350126
836*471=,393156,393756
978*618=,604004,604404
748*932=,696736,697136
686*778=,534108,533708
434*804=,348136,348936
679*393=,266147,266847
599*213=,126887,127587
981*624=,611744,612144
374*602=,224548,225148
468*579=,271172,270972
432*207=,089224,089424
248*289=,071172,071672
909*990=,900910,899910
398*975=,386550,388050
566*615=,347690,348090
693*703=,486679,487179
375*378=,141850,141750
191*671=,128061,128161
692*664=,459888,459488
956*147=,140632,140532
589*866=,509674,510074
643*895=,576685,575485
203*652=,132056,132356
156*353=,054068,055068
132*313=,041616,041316
192*198=,038616,038016
508*930=,473440,472440
506*888=,449728,449328
475*834=,396050,396150
438*975=,426850,427050
197*923=,181631,181831
378*820=,310960,309960
708*954=,676032,675432
656*243=,159608,159408
457*472=,216004,215704
766*594=,454004,455004
141*639=,089699,090099
577*142=,082034,081934
535*127=,068045,067945
767*405=,310935,310635
284*370=,104080,105080
632*833=,526656,526456
539*924=,497136,498036
712*937=,666044,667144
932*263=,244316,245116
398*604=,240192,240392
887*171=,151177,151677
615*969=,596935,595935
178*942=,167876,167676
567*198=,112666,112266
572*703=,403916,402116
784*609=,476656,477456
920*388=,357360,356960
398*175=,069550,069650
135*631=,084085,085185
636*623=,396828,396228
996*901=,897196,897396
255*609=,155395,155295
364*610=,221040,222040
805*643=,518115,517615
353*556=,196068,196268
641*653=,418073,418573
205*508=,104940,104140
185*897=,166745,165945
930*825=,768250,767250
307*162=,049634,049734
773*692=,536016,534916
815*496=,403040,404240
411*351=,144061,144261
507*887=,449909,449709
870*288=,251560,250560
294*299=,088306,087906
238*352=,083976,083776
226*808=,182208,182608
994*114=,113116,113316
879*408=,358032,358632
382*635=,242670,242570
163*682=,110666,111166
737*402=,295074,296274
498*423=,211554,210654
847*560=,473320,474320
746*343=,255078,255878
272*879=,239988,239088
545*605=,329225,329725
237*745=,176665,176565
425*273=,116625,116025
241*605=,146005,145805
924*563=,520612,520212
438*452=,199576,197976
278*333=,092874,092574
314*214=,066996,067196
365*638=,233870,232870
469*792=,371548,371448
924*592=,548208,547008
752*995=,748140,748240
391*312=,122092,121992
727*646=,469442,469642
470*504=,237880,236880
774*507=,392618,392418
297*959=,284623,284823
467*967=,451189,451589
361*268=,096048,096748
239*696=,166544,166344
659*567=,373153,373653
379*546=,206034,206934
353*502=,177706,177206
501*180=,088180,090180
171*421=,071191,071991
414*839=,346346,347346
717*768=,550056,550656
155*147=,022685,022785
196*815=,159940,159740
123*169=,020287,020787
365*335=,121775,122275
199*813=,162087,161787
739*178=,131142,131542
213*869=,185397,185097
872*871=,759212,759512
448*697=,312056,312256
131*475=,062125,062225
411*243=,099673,099873
577*557=,321089,321389
884*534=,471256,472056
551*213=,117663,117363
588*268=,157184,157584
557*856=,476092,476792
629*817=,514693,513893
635*675=,428125,428625
123*921=,113683,113283
311*811=,251821,252221
612*891=,544392,545292
341*728=,248348,248248
454*464=,210056,210656
266*101=,026766,026866
146*252=,037192,036792
772*945=,729940,729540
811*877=,711147,711247
987*319=,314953,314853
903*875=,790825,790125
182*419=,076758,076258
971*446=,433166,433066
853*752=,641256,641456
952*501=,477952,476952
469*166=,077054,077854
362*381=,137522,137922
994*465=,461110,462210
498*925=,461550,460650
234*184=,043256,043056
132*351=,046032,046332
953*355=,338815,338315
645*137=,088665,088365
724*255=,184020,184620
198*537=,106026,106326
828*463=,383864,383364
692*443=,306456,306556
949*506=,480094,480194
703*151=,106053,106153
546*408=,222568,222768
420*802=,337840,336840
834*842=,701828,702228
695*282=,196890,195990
182*673=,121786,122486
854*466=,398064,397964
711*558=,398838,396738
195*994=,193030,193830
388*636=,247768,246768
988*537=,530156,530556
558*721=,403118,402318
646*882=,570372,569772
796*353=,280088,280988
920*636=,586720,585120
319*501=,159919,159819
563*714=,402382,401982
938*777=,728026,728826
214*409=,087626,087526
358*564=,201112,201912
196*555=,108080,108780
729*394=,287926,287226
466*611=,284626,284726
273*877=,239921,239421
939*293=,275527,275127
709*977=,693193,692693
488*817=,398396,398696
463*964=,446032,446332
445*141=,062845,062745
695*842=,585890,585190
381*751=,286031,286131
823*976=,804848,803248
206*704=,145224,145024
427*223=,094821,095221
797*316=,251052,251852
365*452=,164180,164980
294*132=,039008,038808
810*654=,530740,529740
415*867=,360105,359805
709*898=,635082,636682
356*478=,170568,170168
634*507=,321838,321438
989*970=,957330,959330
557*426=,237482,237282
345*286=,098870,098670
115*372=,043180,042780
588*391=,229508,229908
629*414=,261106,260406
689*698=,480522,480922
450*615=,277750,276750
868*767=,665156,665756
387*655=,253685,253485
987*471=,464177,464877
617*841=,519197,518897
515*287=,148805,147805
701*806=,565406,565006
643*264=,170052,169752
982*816=,800512,801312
127*889=,113603,112903
943*171=,161153,161253
451*422=,190122,190322
731*604=,440724,441524
589*534=,314626,314526
341*907=,308887,309287
162*231=,037522,037422
521*512=,267452,266752
909*942=,855278,856278
957*654=,625378,625878
524*954=,499696,499896
816*366=,300056,298656
775*933=,722375,723075
717*939=,673363,673263
436*953=,415008,415508
641*214=,136474,137174
535*289=,154915,154615
119*922=,109918,109718
393*514=,201002,202002
895*109=,096655,097555
966*816=,789056,788256
662*920=,608240,609040
734*839=,615126,615826
384*985=,378440,378240
808*755=,609540,610040
151*911=,138661,137561
771*761=,586931,586731
897*163=,146711,146211
147*748=,109856,109956
426*154=,065804,065604
403*844=,339532,340132
461*324=,149664,149364
219*507=,111933,111033
701*612=,428012,429012
735*244=,179540,179340
709*517=,366153,366553
757*302=,228014,228614
532*727=,387064,386764
598*371=,221658,221858
143*569=,081067,081367
569*941=,534029,535429
701*278=,194178,194878
134*507=,068038,067938
929*966=,897114,897414
172*805=,138860,138460
551*249=,137699,137199
174*775=,134150,134850
767*505=,386735,387335
699*998=,696602,697602
344*547=,187968,188168
652*314=,204128,204728
889*233=,206137,207137
304*442=,134168,134368
974*643=,625982,626282
779*482=,376778,375478
347*673=,233131,233531
739*879=,649681,649581
682*916=,624512,624712
381*686=,261166,261366
778*243=,188054,189054
147*455=,067685,066885
331*241=,079671,079771
128*124=,016272,015872
518*968=,501024,501424
793*602=,476986,477386
437*766=,334442,334742
453*258=,116074,116874
941*605=,569205,569305
255*804=,205320,205020
574*357=,204818,204918
457*651=,297007,297507
824*800=,663200,659200
225*573=,128825,128925
117*324=,038108,037908
575*627=,360225,360525
550*371=,203050,204050
163*413=,067819,067319
668*369=,246292,246492
858*734=,630672,629772
485*382=,185070,185270
925*418=,386850,386650
666*612=,407792,407592
147*698=,102006,102606
975*623=,606825,607425
894*260=,231440,232440
718*161=,115198,115598
855*191=,163005,163305
208*980=,204840,203840
424*934=,395216,396016
655*142=,092810,093010
835*491=,409085,409985
702*897=,628094,629694
812*455=,370360,369460
369*611=,225059,225459
747*832=,621004,621504
638*895=,571610,571010
681*905=,616005,616305
499*652=,326048,325348
468*653=,305004,305604
639*223=,142997,142497
267*794=,210898,211998
829*531=,440799,440199
436*922=,401792,401992
242*179=,043018,043318
672*783=,526376,526176
748*172=,129056,128656
196*893=,175628,175028
714*662=,472268,472668
672*792=,533024,532224
561*453=,254033,254133
610*869=,528090,530090
243*648=,157064,157464
307*111=,033177,034077
394*973=,382962,383362
364*336=,122504,122304
664*851=,564164,565064
117*608=,071036,071136
955*543=,518665,518565
813*352=,286776,286176
937*267=,250979,250179
357*533=,190081,190281
523*173=,090079,090479
631*254=,160074,160274
462*788=,363456,364056
620*448=,278760,277760
645*258=,166810,166410
469*538=,252522,252322
918*399=,366882,366282
645*193=,124085,124485
635*128=,080180,081280
776*665=,515040,516040
909*250=,226250,227250
790*539=,426810,425810
303*408=,123024,123624
244*727=,178188,177388
952*210=,200920,199920
558*736=,411088,410688
329*609=,200061,200361
207*384=,079988,079488
855*738=,631190,630990
913*239=,218107,218207
222*791=,176302,175602
242*902=,218684,218284
499*783=,390517,390717
443*625=,277075,276875
757*195=,147115,147615
575*998=,573550,573850
496*547=,271812,271312
383*529=,202807,202607
282*265=,074430,074730
397*418=,166046,165946
969*320=,309080,310080
639*624=,399836,398736
894*897=,805918,801918
354*726=,257204,257004
451*205=,092055,092455
215*689=,148335,148135
359*573=,205107,205707
982*433=,424606,425206
535*899=,481065,480965
155*905=,140775,140275
446*399=,178054,177954
852*899=,768148,765948
369*250=,091250,092250
761*285=,216085,216885
823*755=,621265,621365
152*941=,143632,143032
702*136=,095672,095472
119*372=,044668,044268
452*599=,271148,270748
290*363=,104270,105270
461*478=,220158,220358
134*678=,090052,090852
937*868=,812916,813316
986*781=,770166,770066
559*429=,240211,239811
403*543=,218929,218829
692*835=,578020,577820
720*983=,708760,707760
699*981=,684919,685719
318*896=,284328,284928
724*788=,571112,570512
116*236=,027576,027376
241*612=,147392,147492
983*543=,533069,533769
617*707=,436119,436219
621*312=,194152,193752
917*442=,405814,405314
348*977=,340096,339996
647*982=,635054,635354
829*753=,624137,624237
771*523=,403633,403233
571*581=,331151,331751
887*148=,130876,131276
165*812=,134180,133980
756*746=,564576,563976
210*215=,044150,045150
442*826=,365492,365092
673*368=,247364,247664
955*571=,545605,545305
407*768=,312976,312576
799*168=,134032,134232
988*368=,363184,363584
252*464=,116128,116928
614*830=,510620,509620
126*936=,118936,117936
574*637=,365138,365638
619*409=,253071,253171
112*927=,103624,103824
145*227=,033115,032915
876*598=,524648,523848
314*288=,090232,090432
252*143=,036136,036036
196*652=,127592,127792
333*227=,075691,075591
384*396=,151264,152064
918*272=,249896,249696
567*816=,462072,462672
963*172=,165536,165636
231*318=,073058,073458
807*172=,139804,138804
599*882=,528818,528318
972*125=,120200,121500
305*684=,208120,208620
274*301=,082074,082474
775*434=,336850,336350
187*255=,048385,047685
408*828=,336624,337824
464*585=,271140,271440
526*635=,333810,334010
406*397=,161882,161182
507*181=,091067,091767
255*404=,104020,103020
682*682=,464024,465124
917*390=,358630,357630
757*695=,526615,526115
781*836=,652016,652916
354*527=,186058,186558
697*316=,220052,220252
379*638=,242502,241802
252*445=,111540,112140
381*301=,114081,114681
615*307=,189805,188805
391*685=,268035,267835
898*169=,151062,151762
888*980=,871240,870240
936*985=,921860,921960
733*684=,501072,501372
119*174=,020106,020706
763*977=,745551,745451
353*538=,189814,189914
456*241=,109696,109896
530*979=,519870,518870
646*689=,444894,445094
745*206=,153870,153470
788*796=,626848,627248
866*399=,346034,345534
187*955=,178685,178585
475*155=,073125,073625
254*685=,173190,173990
352*481=,169012,169312
568*424=,240592,240832
482*897=,433354,432354
512*329=,168848,168448
834*150=,124100,125100
501*695=,347995,348195
633*724=,458892,458292
881*208=,182648,183248
225*812=,182800,182700
549*252=,138648,138348
118*635=,074830,074930
550*626=,343300,344300
381*556=,211036,211836
383*616=,236028,235928
752*403=,302956,303056
847*109=,092023,092323
296*475=,140100,140600
483*932=,449656,450156
206*959=,198054,197554
646*934=,602964,603364
808*671=,541168,542168
501*488=,244988,244488
152*351=,053052,053352
101*112=,011712,011312
307*701=,215507,215207
494*339=,167666,167466
529*212=,112648,112148
183*161=,029063,029463
962*864=,830568,831168
204*913=,186952,186252
831*417=,346027,346527
978*675=,659150,660150
155*295=,046725,045725
653*708=,461024,462324
525*819=,430875,429975
893*276=,246968,246468
222*661=,146142,146742
378*254=,095012,096012
337*824=,277088,277688
773*489=,378997,377997
677*122=,082694,082594
324*755=,244020,244620
104*581=,060124,060424
858*565=,484870,484770
707*415=,293905,293405
403*912=,366936,367536
680*695=,471600,472600
730*339=,248470,247470
959*375=,360125,359625
424*682=,289768,289168
749*987=,739963,739263
375*542=,203850,203250
176*366=,064016,064416
875*268=,234100,234500
950*648=,614600,615600
562*234=,130508,131508
911*946=,861106,861806
436*397=,173892,173092
809*431=,349179,348679
246*301=,073746,074046
897*403=,361991,361491
309*550=,170950,169950
807*651=,527057,525357
882*597=,526654,526554
491*789=,386999,387399
470*709=,334230,333230
511*765=,391115,390915
734*979=,719086,718586
826*975=,805850,805350
897*587=,526939,526539
423*286=,121878,120978
568*742=,420656,421456
350*514=,180900,179900
619*302=,187638,186938
459*576=,264584,264384
522*965=,504430,503730
757*656=,496092,496592
239*494=,118666,118066
531*796=,422876,422676
286*930=,266980,265980
999*151=,150149,150849
752*427=,320104,321104
808*910=,734280,735280
147*552=,081044,081144
547*415=,226805,227005
594*962=,571628,571428
351*745=,261695,261495
193*911=,176023,175823
246*909=,223814,223614
961*639=,613179,614079
482*332=,160224,160024
861*644=,553984,554484
701*922=,646022,646322
777*486=,378322,377622
233*421=,097693,098093
205*597=,122785,122385
818*312=,255016,255216
803*416=,333848,334048
656*759=,497004,497904
278*705=,196190,195990
144*721=,104824,103824
757*146=,110022,110522
899*211=,189889,189689
226*282=,063632,063732
476*325=,154200,154700
765*470=,358550,359550
279*668=,186272,186372
911*898=,819278,818078
449*177=,079673,079473
642*661=,423662,424362
613*228=,140064,139764
939*415=,389885,389685
149*574=,085926,085526
643*712=,457416,457816
855*945=,807475,807975
902*951=,857102,857802
123*367=,044641,045141
516*889=,458224,458724
906*146=,132476,132276
379*692=,261068,262268
929*937=,870673,870473
896*409=,366564,366464
703*786=,552258,552558
582*238=,138116,138516
216*948=,204568,204768
876*745=,652520,652620
370*992=,366040,367040
349*525=,183025,183225
378*673=,254894,254394
203*812=,164936,164836
314*121=,037894,037994
234*128=,029352,029952
766*416=,318056,318656
141*633=,088653,089253
308*524=,161792,161392
958*257=,246006,246206
179*195=,035805,034905
238*138=,033444,032844
492*513=,252996,252396
539*538=,290182,289982
355*905=,320275,321275
523*667=,348041,348841
858*861=,739938,738738
677*235=,158295,159095
248*315=,078620,078120
918*364=,334352,334152
395*753=,297135,297435
196*845=,165720,165620
142*149=,021858,021158
915*687=,628805,628605
909*256=,233504,232704
504*819=,413976,412776
373*795=,296335,296535
404*987=,398148,398748
748*792=,592816,592416
631*197=,124807,124307
953*325=,309225,309725
161*556=,089016,089516
494*783=,386302,386802
896*159=,141164,142464
991*143=,141113,141713
439*708=,310612,310812
177*271=,048667,047967
221*503=,111763,111163
746*718=,536228,535628
278*303=,083634,084234
972*907=,880604,881604
118*206=,024108,024308
775*922=,714850,714550
516*790=,408640,407640
984*765=,752160,752760
141*112=,015592,015792
275*918=,252850,252450
707*229=,162803,161903
791*487=,384917,385217
155*347=,053685,053785
619*478=,296082,295882
221*554=,121834,122434
615*191=,117065,117465
979*538=,526802,526702
349*536=,186864,187064
286*411=,118646,117546
454*673=,305842,305542
958*585=,560130,560430
518*866=,448188,448588
718*352=,253536,252736
222*517=,114874,114774
